"File"	"Plate_Type"	"Position"	"Setup_Time"	"Well"	"mu"	"lambda"	"A"	"AUC"	"mu_CI95_low"	"lambda_CI95_low"	"A_CI95_low"	"AUC_CI95_low"	"mu_CI95_high"	"lambda_CI95_high"	"A_CI95_high"	"AUC_CI95_high"	"Aggr_software"	"Aggr_version"	"Aggr_method"	"Discretized"	"Disc_software"	"Disc_version"	"Disc_method"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"A01"	11.0239490374402	0.101998280074103	50.0586437522741	4437.423792864	10.8538314459345	-51.4322872382767	50.2978431840183	4398.07750163227	16.5264325297181	85.9780629028097	53.0550158798986	4463.39457157138	"opm"	"1.3.51"	"grofit"	FALSE	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"A02"	6.47772286994336	-1.17233134884521	50.2660273428748	4294.08252281865	5.46716638240377	-34.66207762553	50.201817207401	4251.13805006296	14.7111400864039	119.317927831985	54.03143182126	4316.55817358922	"opm"	"1.3.51"	"grofit"	FALSE	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"A03"	5.4787776379894	-0.0367891891096806	29.6073109885561	2566.50462868851	3.31739323527425	-17.3502549023257	29.7878444150652	2537.08932176093	17.0850517869014	148.128379766773	34.4615301314378	2582.13004990163	"opm"	"1.3.51"	"grofit"	FALSE	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"A04"	28.2949132058871	2.32411771576596	280.974739519407	24314.2418801986	24.6195674041815	-1.88104660891929	279.792049404854	24166.4620590466	33.2211611953979	8.79005432069948	282.364609613145	24389.7797251403	"opm"	"1.3.51"	"grofit"	TRUE	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"A05"	19.5860862954629	1.19894528432767	252.040563739652	21051.3301898907	18.7081435413832	-1.82723550563854	251.969280880371	20892.8522905449	25.5160285811675	10.4058533840369	255.91216538449	21137.9406586217	"opm"	"1.3.51"	"grofit"	TRUE	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"A06"	8.06243196817905	-0.0453732068776983	47.3426763021851	3887.5703181804	4.95632264210388	54.8134931134664	47.435899134016	3854.95734643568	18.0228477539169	120.99599531513	50.467233383236	3902.9484992977	"opm"	"1.3.51"	"grofit"	FALSE	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"A07"	27.2176276866607	0.882603916707672	269.962616664765	23272.9401701822	27.7431162947225	-56.5513468919888	269.81542787177	23113.0965727995	32.7321652160255	93.7846497114483	275.343730925431	23362.5710547677	"opm"	"1.3.51"	"grofit"	TRUE	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"A08"	16.0471957837402	0.726235920903776	292.887557569525	23234.436271659	15.1158467987349	-1.82643485196297	292.381001110931	23028.2048584206	21.6873313425263	4.15283598173411	295.239926030035	23333.1386273502	"opm"	"1.3.51"	"grofit"	TRUE	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"A09"	19.4062295098884	0.923739198113147	282.272794087389	23391.0343135656	18.9064090244323	-2.71950809480813	280.643409873192	23223.4644414113	25.5897361103519	8.72085947927529	285.424385673529	23469.3825688535	"opm"	"1.3.51"	"grofit"	TRUE	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"A10"	5.77422721381706	-0.52907094175874	32.2739874842606	2837.10309746966	5.88627711527486	-36.7700552710018	33.6077133124076	2797.15789900258	17.2643315526512	143.14452235155	37.6986962861261	2855.08913110972	"opm"	"1.3.51"	"grofit"	FALSE	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"A11"	7.39108511195274	-1.04119719662758	51.7719426824927	4358.04660319253	7.79600965603504	50.4333793185708	54.1150257231884	4303.72095754714	22.1247806051927	118.444480031196	59.541705801094	4398.24987251746	"opm"	"1.3.51"	"grofit"	FALSE	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"A12"	7.18945710112102	-1.70244898330563	54.5669788933831	4766.67653706129	4.48236675938588	52.0249705212412	56.2908309893027	4717.74477742416	31.2061945412677	121.587254744815	66.0135372639736	4802.32149392648	"opm"	"1.3.51"	"grofit"	FALSE	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"B01"	6.40763039160137	-0.459436332609153	42.5652299240428	3838.6523310208	4.69682678783132	13.5699163516999	42.8999513650512	3804.14372551094	12.6796738811057	138.727102118451	45.3660375550786	3858.33906056099	"opm"	"1.3.51"	"grofit"	FALSE	"opm"	"1.3.51"	"kmeans"
